rt,stimulus,button_pressed,choices,ChosenStimulus,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,subject,list,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part
15253,NA,NA,NA,NA,survey-likert-extra-labels,87,727547,0.0-33.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W1 is being hugged by W3,hug1,rating_volition,"{""Q0"":5}",[0],W1 wanted to hug W3,W3 wanted to hug W1
null,Luke is hiring Beth,NA,NA,NA,html-keyboard-response,88,729561,0.0-34.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,M3 is hiring W1,hire,sentence,NA,NA,NA,NA
8511,NA,NA,NA,NA,survey-likert-extra-labels,89,738073,0.0-34.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M3 is hiring W1,hire,rating_volition,"{""Q0"":0}",[0],M3 is employing W1,W1 is employing M3
6712,NA,NA,NA,NA,survey-likert-extra-labels,90,744786,0.0-34.0-3.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M3 is hiring W1,hire,rating_causation,"{""Q0"":6}",[0],M3 will work for W1,W1 will work for M3
null,Jane is being challenged by Fred,NA,NA,NA,html-keyboard-response,91,746792,0.0-35.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,W3 is being challenged by M1,challenge4,sentence,NA,NA,NA,NA
4592,NA,NA,NA,NA,survey-likert-extra-labels,92,751384,0.0-35.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W3 is being challenged by M1,challenge4,rating_volition,"{""Q0"":6}",[0],W3 wanted to challenge M1,M1 wanted to challenge W3
6327,NA,NA,NA,NA,survey-likert-extra-labels,93,757712,0.0-35.0-3.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W3 is being challenged by M1,challenge4,rating_causation,"{""Q0"":6}",[0],W3 started challenging M1 first,M1 started challenging W3 first
null,Kate is carrying Ruth,NA,NA,NA,html-keyboard-response,94,759721,0.0-36.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,W2 is carrying W4,carry,sentence,NA,NA,NA,NA
5050,NA,NA,NA,NA,survey-likert-extra-labels,95,764772,0.0-36.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W2 is carrying W4,carry,rating_volition,"{""Q0"":0}",[0],W2 is transporting W4,W4 is transporting W2
10317,NA,NA,NA,NA,survey-likert-extra-labels,96,775090,0.0-36.0-3.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W2 is carrying W4,carry,rating_causation,"{""Q0"":0}",[0],W2 is being moved by W4,W4 is being moved by W2
null,Dave is reminding Ruth,NA,NA,NA,html-keyboard-response,97,777093,0.0-37.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,M2 is reminding W4,remind,sentence,NA,NA,NA,NA
6332,NA,NA,NA,NA,survey-likert-extra-labels,98,783426,0.0-37.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M2 is reminding W4,remind,rating_volition,"{""Q0"":0}",[0],M2 is telling W4 again,W4 is telling M2 again
15845,NA,NA,NA,NA,survey-likert-extra-labels,99,799274,0.0-37.0-3.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M2 is reminding W4,remind,rating_causation,"{""Q0"":5}",[0],M2 is remembering,W4 is remembering
null,Dave is being shouted at by Ruth,NA,NA,NA,html-keyboard-response,100,801288,0.0-38.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,M2 is being shouted at by W4,shout3,sentence,NA,NA,NA,NA
6022,NA,NA,NA,NA,survey-likert-extra-labels,101,807309,0.0-38.0-1.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M2 is being shouted at by W4,shout3,rating_causation,"{""Q0"":5}",[0],M2 shouted at W4 first,W4 shouted at M2 first
8075,NA,NA,NA,NA,survey-likert-extra-labels,102,815386,0.0-38.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M2 is being shouted at by W4,shout3,rating_volition,"{""Q0"":5}",[0],M2 wanted to shout at W4,W4 wanted to shout at M2
null,Kate is being challenged by Ruth,NA,NA,NA,html-keyboard-response,103,817398,0.0-39.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,W2 is being challenged by W4,challenge1,sentence,NA,NA,NA,NA
6611,NA,NA,NA,NA,survey-likert-extra-labels,104,824010,0.0-39.0-1.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W2 is being challenged by W4,challenge1,rating_causation,"{""Q0"":5}",[0],W2 started challenging W4 first,W4 started challenging W2 first
