"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_race","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",140,647387,"0.0-15.0-0.5",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/BlackGender1b.gif' style='height:400px;''></img>",NA,"html-keyboard-response",141,649391,"0.0-15.0-1.5",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","正在跟随",NA,"html-keyboard-response",142,652394,"0.0-15.0-2.5",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"6888",NA,NA,"survey-text",143,659286,"0.0-15.0-3.5",35039,"ListA","man","black",NA,NA,NA,NA,"{""Q0"":""卢克正在跟随露丝""}","<img src='gifs/BlackGender1b.gif' style='height:400px;''></img>","跟随","正在跟随","chinese",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",144,659789,"0.0-15.0-0.6",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/FemaleRace2a.gif' style='height:400px;''></img>",NA,"html-keyboard-response",145,661792,"0.0-15.0-1.6",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","正在说服",NA,"html-keyboard-response",146,664798,"0.0-15.0-2.6",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"6732",NA,NA,"survey-text",147,671535,"0.0-15.0-3.6",35039,"ListA","man","black",NA,NA,NA,NA,"{""Q0"":""霍普正在说服凯特""}","<img src='gifs/FemaleRace2a.gif' style='height:400px;''></img>","说服","正在说服","chinese",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",148,672037,"0.0-15.0-0.7",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/FemaleRace3b.gif' style='height:400px;''></img>",NA,"html-keyboard-response",149,674039,"0.0-15.0-1.7",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","正在加入",NA,"html-keyboard-response",150,677045,"0.0-15.0-2.7",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"7454.999999999880",NA,NA,"survey-text",151,684505,"0.0-15.0-3.7",35039,"ListA","man","black",NA,NA,NA,NA,"{""Q0"":""贝斯正在加入露丝""}","<img src='gifs/FemaleRace3b.gif' style='height:400px;''></img>","加入","正在加入","chinese",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",152,685007,"0.0-15.0-0.8",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/BlackGender3a.gif' style='height:400px;''></img>",NA,"html-keyboard-response",153,687015,"0.0-15.0-1.8",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","正在触摸",NA,"html-keyboard-response",154,690020,"0.0-15.0-2.8",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"8501",NA,NA,"survey-text",155,698530,"0.0-15.0-3.8",35039,"ListA","man","black",NA,NA,NA,NA,"{""Q0"":""霍普正在触摸卢克""}","<img src='gifs/BlackGender3a.gif' style='height:400px;''></img>","触摸","正在触摸","chinese",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",156,699032,"0.0-15.0-0.9",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/ChineseGender2b.gif' style='height:400px;''></img>",NA,"html-keyboard-response",157,701036,"0.0-15.0-1.9",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
