"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"4374.000000000233","","","survey-likert-extra-labels","84","1686812","0.0-32.0-3.0-0.0","15044","1B","woman","","","M2 is playing with M4","play2","rating_causation","{""Q0"":3}","[0]","M2 asked to play with M4","M4 asked to play with M2"
"null","Dave is hiring Kate","","html-keyboard-response","85","1688817","0.0-33.0-0.0","15044","1B","woman","","null","M3 is hiring W1","hire","sentence","","","",""
"3920","","","survey-likert-extra-labels","86","1692743","0.0-33.0-2.0","15044","1B","woman","","","M3 is hiring W1","hire","rating_volition","{""Q0"":1}","[0]","M3 is employing W1","W1 is employing M3"
"4444","","","survey-likert-extra-labels","87","1697192","0.0-33.0-3.0-0.0","15044","1B","woman","","","M3 is hiring W1","hire","rating_causation","{""Q0"":5}","[0]","M3 will work for W1","W1 will work for M3"
"null","Beth is playing with Fred","","html-keyboard-response","88","1699197","0.0-34.0-0.0","15044","1B","woman","","null","W3 is playing with M1","play4","sentence","","","",""
"5212","","","survey-likert-extra-labels","89","1704415","0.0-34.0-2.0","15044","1B","woman","","","W3 is playing with M1","play4","rating_volition","{""Q0"":1}","[0]","W3 wanted to play with M1","M1 wanted to play with W3"
"3761","","","survey-likert-extra-labels","90","1708182","0.0-34.0-3.0-0.0","15044","1B","woman","","","W3 is playing with M1","play4","rating_causation","{""Q0"":3}","[0]","W3 asked to play with M1","M1 asked to play with W3"
"null","Mike is kissing Ruth","","html-keyboard-response","91","1710186","0.0-35.0-0.0","15044","1B","woman","","null","M4 is kissing W2","kiss4","sentence","","","",""
"6618","","","survey-likert-extra-labels","92","1716811","0.0-35.0-1.0-0.0","15044","1B","woman","","","M4 is kissing W2","kiss4","rating_causation","{""Q0"":4}","[0]","W2 asked to kiss M4","M4 asked to kiss W2"
"5011","","","survey-likert-extra-labels","93","1721827","0.0-35.0-2.0","15044","1B","woman","","","M4 is kissing W2","kiss4","rating_volition","{""Q0"":5}","[0]","W2 wanted to kiss M4","M4 wanted to kiss W2"
"null","Dave is arguing with Fred","","html-keyboard-response","94","1723832","0.0-36.0-0.0","15044","1B","woman","","null","M3 is arguing with M1","argue2","sentence","","","",""
"4338","","","survey-likert-extra-labels","95","1728176","0.0-36.0-2.0","15044","1B","woman","","","M3 is arguing with M1","argue2","rating_volition","{""Q0"":3}","[0]","M1 wanted to argue with M3","M3 wanted to argue with M1"
